carbohydrate,protein,fat,salt
2.7,19.8,10.8,1408
2.7,25.42,8.77,1510
1.8,23.85,5.4,1392
1.8,17.33,11.93,1350
1.8,17.33,17.33,1370
2.03,16.42,3.83,1533
2.92,17.55,4.95,1381
4.05,14.4,5.18,1470
48.6,15.13,24.77,820
67.77,12.28,15.22,954
52.27,12.49,20.65,801
56.17,17.81,16.65,842
26.75,9.55,11.73,1024
62.56,21.39,17.04,1097
68.72,20.6,23.26,912
63.27,18,16.82,1025
44.87,18.75,18.36,934
23.05,6.68,5.9,983
46.74,18.34,12.7,982
54.82,20.34,29.31,1079
57.78,22.96,22.27,831
57.35,22.76,29.33,989
67.16,17.99,16.52,880
53.59,17.58,22.01,958
60,14,72,1073
116,8,61,902
53,21,63,945
44,8,11,989
23,18,8,1100
17,5,9,833
14,6,5,951
15,7,6,912
13,7,13,911
23,20,7,416
24,22,8,471
26,23,8,542
29,21,8,377
25,16,13,626
38,13,9,914
30,19,14,598
24,7,13,969
28.82,0.89,0.21,432
40.07,2.17,0.48,523
40.85,1.86,0.47,1035
38,6,17,730
23.02,0.89,0.17,928
37.9,5.1,5.5,577
27.85,9.44,12.47,375
25.29,1.03,0.21,341
20.57,1.12,0.11,477
21.19,1.11,0.09,687
17.77,1.02,0.38,1023
20.52,1.42,0.06,961
22.79,1.09,0.17,902
29.79,8.06,12.15,438
71.84,9.13,20.74,786
64.21,16.63,22.25,383
21.74,1.59,5.99,834
31.95,6.53,3.77,526
31.95,6.53,3.77,990
32.5,5,12,368
27.3,4.2,10.08,845
58.4,15.23,27.9,520
50.74,13.46,24.03,836
58.05,22.32,22.28,630
23.32,12.61,12.01,770
19.39,2.91,1.72,922
24.33,4.12,7.68,321
14.68,2.87,7.95,352
18.56,9.72,12.96,909
32,20,13,995
38,8,7,620
23.92,9.81,5.15,538
23.92,9.81,5.15,853
58,20.95,19.37,920
9.36,16.84,3.37,810
29.3,10.4,15.4,891
28.3,6,6.7,724
35,11,3.2,565
30.3,6.9,4.7,587
23.5,18.8,5.4,776
50,9,8,355
23.6,8,10.3,407
15.6,9.75,7.8,567
30.8,9.6,11.4,846
24.35,15.13,8.98,629
14.08,5.21,1.24,1026
56.88,13.61,27.13,835
24.17,7.53,8.06,321
17.2,4.3,6.5,503
26.29,5.35,12.19,639
6.19,0.79,0.07,693
11.79,21.17,5.36,786
22,10,13,880
25.28,12.88,25.33,780
14,21,4,562
14.36,5,2.86,598
15.55,7.56,10.39,810
15.4,11,19.8,1023
15.75,15.75,6.75,830
10.97,9.46,14.55,398
29.4,8.51,10.96,389
13.65,7.38,6.49,519
10.43,6.67,4.76,368
31,30,2.5,893
37,9,12,1051
8.67,1.55,0.22,449
49.4,18.2,20.8,957
39.45,18.41,18.41,789
42.16,24.8,17.36,471
12.5,17.5,17.5,474
2.75,1.03,0.09,342
18,14,14,1018
19,15,22,1084
32,13,16,543
28,8,4.3,433
13.75,7.85,12.09,716
2.08,0.95,0.09,831
2.68,0.76,0.2,456
29,15,16,331
58,19,20,733
34,15,10,972
3.11,1.12,0.17,761
34,15,10,1070
18,13,11,550
20,20,5,361
47,15,13,981
4,21,4,458
2.7,1.94,0.17,972
21,30,2.5,735
41,9,7,486
39,9,7,630
1.27,0.13,0.57,599
8,2.3,0,946
54,11,10,1091
46,8,7,1047
44,11,8,1010
55,7,8,998
65,10,6,935
53,10,11,938
54,7,3.7,931
40,9,10,1097
33,6,6,967
55,6,12,898
55,9,12,1037
48,9,17,1036
49,10,18,920
50,6,12,962
95,16,12,1015
95,18,16,856
50,10,14,870
50,11,15,1027
34,6,4,1098
33,5,1.9,959
55,9,12,1079
93.8,20.5,11.2,1239
84.8,30.9,19.4,1306
68.8,19.2,10.1,1118
90.7,16.6,13.1,1216
98.7,24.6,22,1135
80.2,11.9,15.9,1178
10.16,0.29,0.16,1
10.78,0.69,0.09,1
10.17,0.55,0.08,1
8.48,0.49,0.08,1
9.74,0.4,0.08,1
11.18,0.71,0.14,1
10.41,0.48,0.14,1
12.39,0.59,0.12,1
8.2,0.29,0.41,1
10.3,0.4,0.13,1
18.32,1.51,0.94,1
19.67,1.58,1.27,1
15.18,0.55,0.22,1
14.82,0.44,0.25,1
14.91,0.4,0.24,1
14.28,0.46,0.15,1
20.2,0.49,0.22,1
18.5,0.2,0.18,1
12.75,0.7,0.16,1
13.88,0.45,0.08,1
17.48,0.33,0.07,1
13.13,0.35,0.15,1
13.14,0.4,0.06,1
15.75,0.37,0.13,1
15.4,0.39,0.09,1
14.16,0.31,0.06,1
18.11,0.29,0.17,1
15.68,0.27,0.6,1
13.9,0.3,0.15,1
12.8,0.99,0.11,1
10.04,0.53,0.1,1
10.56,0.82,0.08,1
12.56,0.54,1.14,1
53.06,0.21,0.21,1
17.27,1.6,1.83,1
18.96,0.34,0.75,1
17.96,1.52,2.2,1
9.36,0.03,0,1
11.45,0.17,0.01,1
11.81,0.92,0.16,1
55.87,0.14,0.26,1
15.73,0.4,0.27,1
15.08,0.5,0.1,1
17.66,0.38,0.1,1
16.9,0.5,0.1,1
13.66,0.41,0.04,1
18.9,0.6,0,1
18.8,0.6,0.1,1
60.45,1.59,0.05,1
17.76,0.29,0.04,1
18.36,0,0.04,1
55.7,0.3,0.1,1
11,0.1,0.1,1
68.61,1.94,0.16,1
57.45,1.93,0.08,1
10.23,4.5,2.04,1
9.9,0.6,0.1,1
12.3,0.1,0.1,1
12.3,0.1,0.1,1
13.2,1,0.1,1
16.2,1.2,0.2,1
76.2,1,0,1
10.4,0.2,0.1,1
11.6,0.3,0.1,1
12,0.6,0.2,1
18.77,1.19,0.13,1
13.82,1.74,2.16,1
16.2,1.6,0.4,1
27.56,1.45,0.1,1
72.57,3.73,0.25,1
71.3,2.2,0.2,1
27.1,2.3,3.3,1
8.9,0.8,0.2,1
82.8,0.5,0.2,1
8.5,0.7,0.07,1
7.2,0.8,0.1,1
75.05,0.56,0.11,1
10.54,0.7,0.2,1
6.69,0.25,0.23,1
8.42,0.42,0.07,1
11.94,1.2,0.65,1
11.94,1.2,0.65,1
20.87,0.65,0.21,1
9.3,0.71,0.08,1
8.6,0.4,0.2,1
15.14,1.31,0.1,1
74,4.9,0.4,1
16.4,1,0.1,1
14.47,0.85,0.08,1
15.97,0.72,0.1,1
7.71,0.04,0.01,1
17.5,0.6,0.2,1
7.8,1.1,1.1,1
8,1.2,0.7,1
8.1,0.7,0.6,1
10.5,0.9,0.2,1
21.8,0.3,0.2,1
5.1,0.5,0.1,1
9.64,1.5,0.04,1
9.6,0.7,0.1,1
20,0.7,0.4,1
14.3,0.6,0.1,1
77.22,4.75,3.01,1
19.4,0.5,0.1,1
13.47,0.74,0.09,1
63.6,5.1,0.9,1
11.51,0.82,0.11,1
21.94,1.1,0.1,1
78.5,3.8,0.4,1
69.32,2.07,25.67,1
12.3,0.3,0.1,1
12.8,0.4,0.1,1
10.4,0.3,0.1,1
12.35,0.3,0.04,1
8.6,0.4,0.3,1
12.7,0.2,0.1,1
12.01,0.26,0.04,1
12.29,0.29,0.04,1
13,0.3,0.5,1
11.76,0,0,1
14.9,1.7,0.1,1
17.6,0.6,0.1,1
17.1,1.2,0.1,1
15.2,1,0.2,1
75,2.6,0.1,1
10,1.8,0.7,1
13.1,0.59,0.04,1
16.51,0.38,0.05,1
15.59,0.19,0,1
16.04,0.28,0.02,1
7.85,0.93,0.05,1
13.03,0.4,0.04,1
19.95,0.31,0.02,1
20.29,0.44,0.05,1
19.62,0.19,0,1
11.18,0.74,0.79,1
13.02,0.29,0.03,1
51.98,0.66,0.03,1
8.69,0.67,1.13,1
15.38,1.4,0.41,1
12.57,0.55,0.09,1
83.57,4.45,1.11,1
10.07,0.81,0.26,1
22.06,0.65,0.33,1
70.22,0.21,0.11,1
11.95,0.29,0.2,1
19.8,0.3,0.1,1
71.8,1,1.6,1
15.1,0.7,0.3,1
13.58,0.2,0.77,1
14.16,0.27,0.04,1
13.36,0.3,0.03,1
15.17,0.21,0.04,1
11.7,1,0.2,1
66.2,0.2,0.1,1
13.55,1.35,0.22,1
76.6,3.6,0.5,1
23.83,0.87,2.82,1
7.12,1.2,0.05,1
68.39,3.21,0.18,1
12.34,0.63,0.04,1
9.9,0.2,0.1,1
75.36,0.46,0.03,1
20.71,0.29,0.2,1
4.6,0.8,0.6,1
7.83,0.79,0.05,1
9.26,0.65,0.05,1
9.7,1,3.8,1
19,1.2,0.1,1
15.41,0.82,0.21,1
17.45,1.08,0.23,1
6.2,2.5,18.7,1
9,0.7,0.1,1
10.5,0.1,0,1
8.39,0.94,0.81,1
15.2,1.1,0.3,1
18.4,0.66,0.5,1
14,0.8,0.4,1
12,2.6,0.3,1
61.4,0.4,0.1,45
10.5,0.7,0.2,55
11.4,0.06,0.01,65
8.94,0.5,0.04,33
12.4,0.7,0.1,55
10.04,0.66,0.05,56
7.5,0.7,0.1,1
12.8,2.1,3.3,1
61.3,8.5,13.5,1
3.4,0.8,12.3,600
5.34,1.09,12.36,600
10.3,1,0.4,535
11.2,0.9,0.2,686
13.9,1,0.1,71
10.28,0.87,0.06,421
12.54,0.93,0.09,700
14.21,1.02,0.09,385
60.2,0.5,0,96
11.9,2,12.9,49
5.3,0.5,0.6,884
58.7,2.8,0,932
8.4,0.6,0,711
0,0,0,650
11.47,0.64,0.05,693
7.92,0.84,0.05,456
10.3,0.6,0.1,452
11.1,0.3,0,72
9.7,0.1,0,607
11.13,0.58,0.09,403
7.93,0.58,0.1,950
23.25,1.72,0.64,648
23.94,0.36,0.14,797
11.01,1.57,0.29,213
11.23,1.33,0.04,357
