carbohydrate,protein,fat,salt
18.2,3.6,1.8,259
16,3,2.5,1073
16,3,2.5,957
14,4,2.5,650
38.25,6.75,5.62,292
38.25,6.75,5.62,654
38.25,6.75,5.62,467
20.67,4.02,4.6,940
20.67,4.02,4.6,12
19.53,4.6,5.18,657
83,7,7,534
15,2,4.7,679
22,2,3.4,912
44,3,9,133
36,4,6,242
29,0,1.4,556
17,0.7,1.4,384
73,5,21,606
61,5,27,1016
67,5,21.8,540
13,0,0,630
35,0.7,0,400
44,0.9,0,303
23,3,10,650
24,2,2.3,1076
6,1,2.4,39
23,2,10,849
32,1.7,10,74
11,2.8,2.7,304
9,2.5,3.4,974
8,1,0,713
9,1.5,0.4,364
9,1.5,0.4,269
9,1,0,4
9,1,0,9
9,1,0,950
13,3,3.1,422
12,3,3.8,899
10,3,3.7,392
5,3,3.8,780
6,4,5,620
9,3,4,574
10,2,3,883
4,3,4,89
13,3,3,1076
9.5,3.3,3.4,887
6,4,4.1,235
10.45,3,3.12,572
11,3,3.8,757
11,3,3.8,691
9,7,3,315
12,6,5,614
18,4,6,217
10,3,3.7,611
7,3,3.3,675
9,2.5,3.4,409
9.5,3.1,3.9,114
10.8,3.1,3.1,240
10.6,3.2,3,271
13.5,3,3.1,1087
12.7,2.8,3.6,1064
10.5,2.8,2.7,42
7.5,6.8,3,278
11.56,2.53,3.18,329
10.76,2.47,3.21,100
11.63,2.47,2.51,157
9,3,3,1060
10,3,3,896
10.23,2.85,3,420
9.11,2.99,3,52
9.83,2.79,3,182
8,3,2.9,465
8,3,2.7,700
8,3,2.9,702
8,3,3,902
10,3,3.6,95
8.5,3,3,836
7,0.7,0,736
17,5,4,372
17,5,4,274
16,5,5,151
18,5,4.5,881
18,5,4.5,713
15,5,4,824
12,2,1,912
12,2.8,0.7,708
17.5,7.5,12.5,966
12,2,1.4,385
7,1,0,1046
10,2,2.7,317
4,0.7,3.1,486
20,6,4.3,1085
10,1,0,381
12,2,1,702
11,1,0,387
8,3,3.1,1092
8,3,3.1,150
10,1,0,480
8,1,0,496
14,5,5.9,351
3,0.8,0,538
8,1,1.2,386
10,0.7,0,846
9,1.2,0.3,537
6,1,0,882
11,2.9,2,610
11,2.9,2,402
5.5,0.7,0,911
14,0.9,0,658
12,1,1,509
14,1,0,135
10,9,0,129
12,2,0,347
4,2,2.5,316
15,3,2.8,1032
7,2.8,5.5,653
18,2.7,4.6,811
5,3,4,1035
9,3,3.5,254
10,3,2.5,789
11.1,2.9,3.5,438
10.33,4.18,3.72,684
16,5,5,280
17,3,4,1026
9.4,3,2.8,835
4.7,3.5,3.3,1055
10,4,3.2,749
11,3,3.1,473
9,3,3.6,218
18,7,8,883
8,3,3,875
11,3,2.9,283
12,2,0,806
10,0.7,0,711
19,5,3.5,378
12,1.5,1.2,570
10,2.7,1.9,873
9,2.3,4.2,775
32,10,10,512
11,3.8,2,498
13.5,4.5,7.5,178
17,2,1.4,927
6.4,6.1,8.7,131
10,1,0,1024
3,8,15,676
301,64,60,769
9,2.3,4.2,389
40,3,0,58
,,,429
20,5,4.5,707
17,4,3.7,152
16,4,3.8,570
14,4,5,808
9,2,3,778
8,3,3,503
24,2,0.9,1070
14,4,3.6,978
14,3,3,118
14,3.8,3.3,30
14,4,3,909
11,3,3,427
13,3,2.4,876
53,14,17,388
27,11,17,607
14.3,4.7,5.9,453
83,0,0,285
80,0,0,4
89.21,1.82,1.07,310
25,0,0,630
65,5,0,64
40,3,0,1100
40,3,0,313
38,3,0,525
13,0,0,568
13,0,0,339
133,3,2.9,10
18,1,2.4,937
33,2,0.1,699
12,0.7,2.3,867
44,0.9,0,791
26,1.7,4.7,124
15,2,4.7,775
42,0,0,897
42,0,0,90
24,2,2.1,214
7,0.7,0,219
10,0.7,0,807
10,0.7,0,829
17,5,4,255
14,1,0,909
18,5,4.5,598
15,5,4,987
17,5,4,71
18,5,4.5,997
6,0.7,0,339
2,1,0,664
10,0.7,0,906
10,1,0,507
14,1,0,528
10,0.7,0,637
8,1,0,61
40,3,0,941
10,1.2,0,62
8,3,3.1,79
9,1.5,0.4,84
16,5,5,973
15.4,3.3,2.5,580
27,4.7,1,343
12,2,0,71
8,1,0,616
9,1,1.2,970
16,2.5,0,515
36,8.4,5,878
36,8.4,5,484
12,0.7,0,590
12,1,1,603
12,2,1,884
8,3,3.1,143
40,3,0,834
14,5,4,774
36,8.4,5,293
1,0.7,0,904
5,3,3.8,1083
12,2,1,18
8.8,0.8,0,322
8.8,0.8,0,932
13,4,5,610
11,1,0,610
20,6,4.3,725
16,5,3.3,675
2,1,0,661
6,4,5,185
8,1,0,456
9,2.5,3.4,991
17,5,4,244
40,3,0,951
13,2.8,2.6,808
15,5,4,109
13,2,0,537
63,4,0,457
3,1,0,612
89,1,2,778
80,0,0,643
14,1,0,849
24,2,0,20
24,2,0,1035
23,2,0,23
15,5,2.7,69
16,4,3.8,945
17,4,3.7,215
14,4,3.8,785
11,3,3.2,431
11,3,3.2,955
14,3,3.2,59
43,12,17,572
13,4,5,78
15.23,1.29,0.02,977
13.49,3.29,2.22,642
10.38,1.11,0.02,313
11.66,3.03,2.96,428
13.81,3.19,3.26,370
18.91,2.57,2.71,541
12.08,3.54,1.36,771
12.3,2.31,3.22,1087
15.53,2.95,2.46,297
3.36,5.18,3.84,229
12.44,4.55,2.7,240
11.74,0,0,368
7,1,0,616
11,2,3,60
12,5,4.6,104
16,0,0,33
15,5,4.6,1100
16,5,4.6,553
0.77,0.07,0,941
364.71,0,0,916
7.5,0.6,0.6,1048
0.7,0.1,0.2,824
6.3,0.6,1.8,1085
0.5,0.1,0.35,1055
33.75,2.92,0,805
12,4,3,420
38.25,2.25,0,1001
30.15,8.77,6.75,791
33.75,4.5,0,634
29.02,9.45,7.65,823
58.5,11.25,9,620
17,4,2.5,418
17,4,2.5,250
38.25,9,4.5,383
26.77,8.77,6.97,184
26.55,9.23,6.07,995
28.12,8.77,5.85,402
30.15,9,5.62,532
31.95,9,5.85,436
11.9,3.8,2.6,1029
18.2,3.4,2.3,384
17.9,3.5,1.9,125
26.7,4.4,2.2,949
18,3.5,2.1,280
19.8,3.5,2,814
28.8,8.77,0,744
30.83,8.77,0,61
28.35,9.23,7.43,261
40.5,7.43,6.07,1027
34.42,7.43,6.07,734
38.92,7.43,6.07,705
16,4,3,493
16,4,3,900
27,6.75,3.38,487
40.5,9,9,1039
40.5,9,9,743
29.25,8.55,6.97,402
37.8,7.88,6.3,205
28.12,7.43,5.62,610
28.12,7.43,5.62,498
18.2,3.6,1.8,805
18.2,3.6,1.8,392
18.2,3.6,1.8,216
17.3,3.6,1.8,112
18.2,3.6,1.8,714
36,4.5,2.25,224
18.3,1.2,0,860
39.6,14.18,3.15,346
42.97,14.18,3.15,1086
16,3,2.5,446
16,3,2.5,579
14,4,2.5,387
38.25,6.75,5.62,742
38.25,6.75,5.62,708
38.25,6.75,5.62,572
29.92,9.9,7.88,878
26.55,8.55,6.97,557
10,3,3.5,649
27,2.03,0,473
29.48,8.77,1.58,848
29.48,8.77,1.58,850
29.48,9,1.58,508
20.67,4.02,4.6,398
20.67,4.02,4.6,131
19.53,4.6,5.18,889
33.75,8.1,5.18,1006
36,8.32,5.4,317
33.75,8.32,5.4,107
33.75,6.75,6.07,257
31.73,8.55,6.97,745
31.05,8.77,6.53,423
17,1,0,731
12.05,3.13,8.43,1018
33.3,2.25,0.22,692
30.67,1.85,0.18,348
33.71,2.81,2.9,43
31.95,9,6.53,187
38.94,7.21,6.49,771
38.68,7.16,6.45,677
36,4.5,3.38,753
33.75,2.25,0,177
5.29,3.03,8.91,523
15.96,2.91,2.81,117
8,4,7,799
5,5,14,943
5,4,10,192
5,5,13,868
9,3,10,571
15,5,4.6,473
14.6,3.1,3,853
7,11,5,154
48,6,4,391
20,3,1,569
35,6,23,744
32,17,22,963
24.3,7.73,20.49,207
18,12,31,1024
25.28,12.88,25.33,995
18.82,2.82,1.13,1001
11,3,4.8,200
26,3.2,7.2,951
57,7,33,702
57,10,33,745
57,10,33,104
10.5,2,5.8,478
15,8,5,474
13,0,1.1,711
32,7,9,318
32,7,9,632
32,6,12,670
30,8,3.3,163
39,10,4.3,659
30,8,3.3,11
285,87,12,6
39,10,4.3,900
2.3,2.3,10.6,311
42,2,10,914
10,5,8,411
16.7,6.3,5,198
10,4,8,72
11.4,5.3,11,607
11.4,5.3,11,1016
153,18,30,690
24.8,0.4,0.9,470
25.2,0.2,0.8,371
9.2,15.2,12.2,759
11.3,12.2,11.1,194
24.4,3.6,6.2,497
6,0.75,1.88,565
4.95,0.45,2.92,880
36,7,20,931
35,6,20,73
36,5,20,965
48,7,20,683
33,5,19,801
57,7,17,749
52,3,12,363
43,4,11,1022
36,6,5.7,635
60,6,9,126
36,6,6,404
66,8,6,819
50,6,22,1014
72,8,26,128
70,9,28,705
50,6,21,617
98,12,28,334
76,11,11,836
57,4,6,302
94,13,5,249
58,8,22,222
53,5,17,641
49,5,15,182
51,7,14,518
53,8,17,676
51,4,13,30
58,5,13,151
53,6,13,899
48,5,10,457
48,5,10,58
48,6,5,1079
200,23,16,633
72,3,6,580
61,7,5,914
240,21,19,483
50,4,4.1,458
52,7,16,772
25,2,7,281
30,4,7,980
50,6,10,795
35,4,5,36
80,10,36,934
47,4,18,1032
45,4,17,913
5,4,17,830
50,4,17,612
40,5,15,737
37,4,11,583
41,4,13,204
42,4,13,725
30,4,10,442
73,10,22,623
56,5,15,110
51,5,10,929
60,6,11,1039
55,4,4.9,656
210,20,15,193
120,8,7.2,362
20,3,14,197
27,4,19,1083
20,2,11,159
34,3,13,943
44,5,9,131
41,6,11,106
51,5,7,854
49,8,8,587
24,5,18,604
19,5,20,691
28.4,5,13.2,412
35,4,11,383
20,4,28,626
19,3.1,5.3,320
56,5,24,899
133,45,40,923
90,30,30,399
142,40,22,843
128,52,44,172
83,35,27,1054
64,4,20,252
14.4,1.4,3.9,476
14.4,1.3,3.9,847
20,2.8,9.9,241
50.7,7.9,18.63,113
353,49,180,759
120,8,32,653
151,19,24,64
31.2,3,13.7,938
54,5,19,296
175,21,55,992
42,3,19,31
136,84,48,147
150,11,30,945
10,1,9,922
42,3,6,119
126,12,81,10
28,5,25,927
14.3,1.4,4,24
14.2,8.7,4,4
52,5.7,27,58
40,6,31,715
21,3,7.4,653
22,2.8,8.4,36
44,5,9,462
17,4,21,398
42,3,15,615
42,4,16,116
96,9,32,101
40,4,11,494
40,5,17,1031
121,22,35,787
43,16,14,698
13,5,15,638
56,5,17,673
22,3,13,883
83,33,44,644
27.7,2.5,11,28
42,7,6,93
16,2,6,154
22,2,11,289
19,2,6,545
30,2,2.6,942
17,2,5,2
29,3,2.4,794
43,6,16,35
20,2,8,165
47,8,30,644
48,5,22,479
30,5,5,1019
48,7,32,602
52,10,18,1026
58,8,13,274
23,2,11,93
53.6,6.3,23.2,884
42,3,19,909
53,8,25,347
136,84,48,1032
37,21,14,358
90,10,34,1092
34,5,20,980
49,4,14,519
57,7,9,1
33,4,17,608
20,3,14,144
35,8,19,725
21,4,18,429
36,5,24,400
25,4,19,821
57,6,39,314
61,6,41,586
34,5,13,617
14,2,1.5,915
50,5,18,430
76,9,20,852
89,12,6,633
57,7,20,140
206,24,31,967
121,17,26,771
311,28,25,787
25,3,1.3,471
148,21,14,836
164,24,22,158
173,27,22,957
136,21,9,83
99,13,21,1089
38,7,5,974
32,4,16,970
43,5,9,233
48,5,15,107
183,26,94,343
260,38,133,773
181,29,189,156
185,41,171,391
47,5,19,157
41,5,22,677
41,6,23,449
53,7,19,190
53,7,19,202
42,8,26,601
42,8,26,188
45,12,21,603
350,48,73,52
128,22,98,267
54,6,33,641
32,4,4,683
49,10,9,158
54.12,8.68,3.18,839
67,6,11,950
107.5,18.6,35.9,687
21,2,1.5,819
14,1,1.4,595
44,4,5,223
53,7,9,332
63,8,2.4,784
71,11,21,496
36,5,3,515
31,5,4.8,880
131,16,8,201
38,5,2.8,102
53,7,9,772
69,8,6,732
52,5,4.1,1033
25,3,1.8,436
31,4,3.6,728
25,3,5,986
39,4,12,249
72,6,7,677
46,8,1,119
58.8,20,7,600
43,5,1.1,563
276,28,18,946
35.92,4.36,8.77,884
37.49,3.58,7.94,524
43.37,3.58,2.11,69
14.6,7.59,2.45,334
42.97,2.69,3.38,451
37.88,3.33,3.82,777
36.11,3.77,8.67,710
35.97,3.72,9.36,241
36.36,3.72,8.92,805
37.19,3.67,8.13,309
38.76,3.97,6.32,356
9,6.7,12.3,799
37,5,2.4,456
33.63,4.64,12.76,482
34.7,3.59,9.57,995
34.79,3.48,11.6,278
34.79,4.64,12.76,223
34.79,3.48,11.6,285
34.7,3.59,11.97,291
39.2,4.02,11.06,800
22.27,2.02,6.07,1
26.01,3.02,7.86,984
24.98,2.71,7.6,27
26.01,2.42,6.65,259
35.18,5.03,5.03,602
30.15,4.64,5.8,2
18.31,4.07,10.85,957
28,3.23,7.54,480
27,3,12,206
26,3,16,410
22.2,3.06,10.72,989
39.58,3.77,7.54,1023
27.49,3.55,13.3,524
25.13,4.02,9.05,1078
27.33,5.65,14.13,904
0,0.18,2.34,968
0.06,0.33,0.86,672
31.31,4.08,10.89,378
41.46,4.71,3.39,4
37.69,3.35,1.76,660
41.46,4.52,4.52,594
36.75,5.44,14.97,920
28.14,5.03,15.08,796
39.2,5.88,17.64,622
42.32,3.97,3.57,123
42.47,3.18,3.29,813
34.17,5.03,0.75,104
40.52,4.71,1.88,748
29.21,6.6,3.58,100
40.21,5.03,1.84,126
34.84,3.48,6.1,324
40.21,5.03,1.84,655
32.67,5.03,3.94,431
30.99,5.03,3.52,449
39.37,4.19,12.56,96
43.74,3.24,19.44,794
30.15,3.77,4.4,29
23.01,4.3,0.36,973
45.23,3.77,2.64,26
53.89,7.28,3.2,172
39.95,4.52,3.77,345
27.13,3.39,9.49,1024
40.21,5.03,1.84,729
29.86,3.06,4.59,249
44.92,5.44,6.81,41
29.16,2.71,6.1,398
42.61,3.28,3.28,792
31.23,5.38,14,561
45.23,3.77,2.64,244
40.21,3.77,2.76,321
48.46,4.31,2.48,831
45.01,4.5,6.75,738
44.06,3.92,6.85,382
34.89,3.1,2.35,374
28.42,2.94,4.41,845
36.02,3.35,3.6,142
31,4,4.3,7
44.62,5.1,5.86,41
29,5,12,14
28,5,8,207
41,3.97,4.89,320
37.69,4.52,13.57,113
40.47,4.76,1.82,656
28.48,6.7,2.76,384
34.03,5.44,0.95,622
26.92,4.31,9.69,791
33.5,5.03,12.56,944
29.09,3.06,11.48,1094
37.69,4.52,13.57,1014
38.14,3.55,7.98,333
31.36,2.61,11.5,129
29.84,3.39,5.43,90
41.68,4.43,3.46,311
34.59,4.75,2.17,100
33.05,5.83,3.6,471
27.8,3.76,6.77,184
29.82,3.33,1.54,833
42.47,3.18,3.29,461
29.73,2.83,1.53,871
27.14,4.02,10.05,1003
29.16,3.39,6.78,203
43.4,4.57,2.63,483
43.56,5.44,9.53,658
35.81,3.77,13.19,152
24.94,3.75,8.62,580
33.93,4.24,2.97,938
42.47,3.18,3.29,525
38.66,4.83,7.73,783
35.6,4.19,18.85,95
42.47,3.18,3.29,461
36.19,3.01,13.27,746
40.65,4.65,10.45,311
37.69,4.83,7.73,498
32.55,4.75,6.1,492
0,3.12,0,663
27.56,3.83,11.48,189
31,4,11,783
48.09,3.9,5.07,381
29.29,3.2,0.93,876
48.78,3.55,5.32,980
32.92,5.36,3.37,720
40.83,4.19,5.13,673
36.7,4.96,13.89,103
48.78,3.55,5.32,753
36.19,5.03,11.06,1069
35.18,3.35,10.89,1025
34.34,3.35,10.89,1041
39.47,5.44,4.76,743
31,4,11,381
20.25,4.05,4.05,121
22.54,2.94,11.76,682
37.19,4.02,11.06,202
38.14,4.43,7.1,1026
26.13,5.03,11.06,116
33.08,4.73,2.08,285
26.74,2.95,11.33,653
25.68,4.88,1.38,821
41.97,4.94,4.94,64
40.21,4.19,1.59,896
25.13,7.54,5.03,688
39.37,4.19,1.84,651
39.37,4.19,1.84,728
40.21,5.03,1.84,71
49,4.08,6.4,412
33.63,3.48,6.96,34
33.63,3.48,8.12,602
33.63,3.48,6.96,882
30.1,2.8,6.3,213
30.33,4.08,1.4,629
27.56,3.83,9.19,854
27.56,3.06,8.42,99
28.33,3.06,7.66,315
28.33,3.06,7.66,732
43.88,4.5,7.88,572
38.45,4.52,6.78,80
32.62,3.37,11.25,184
27.21,2.32,5.21,448
28,4,11,35
21.87,4.05,3.64,355
40.21,5.03,2.26,386
50,7,3,25
40.14,3.09,2.57,718
25.9,2.8,0.91,124
36.3,4.19,3.21,1059
38.77,3.23,11.85,299
39.68,4.76,2.86,66
24,3,14,454
31,4,11,162
32.55,3.39,3.39,845
28.48,6.7,3.6,78
19.44,4.05,4.45,389
26.19,7.14,4.76,960
35.6,4.19,18.85,608
35.6,4.19,18.85,756
27.44,4.41,2.2,652
27,3,12,550
33.1,4.36,3.75,966
26.92,6.46,12.92,498
40.21,5.03,2.26,1016
42.32,3.97,3.57,636
48.26,4.52,3.32,448
39,4,3.6,414
41.88,4.19,9.21,689
23.59,4.37,6.38,293
34.7,7.18,10.77,350
45.23,6.28,4.4,650
43.08,5.38,1.79,499
40.08,4.77,8.59,32
41.68,4.43,3.46,315
37.25,3.55,8.87,612
43.21,3.7,4.57,88
10.65,0.95,4.74,94
33.1,3.48,6.1,388
40.21,5.03,1.84,123
40.21,5.03,2.09,1057
23.82,4.33,1.15,528
36,5,2.6,883
49.34,4.11,1.78,1014
31.16,4.02,5.03,1052
42.47,3.18,3.29,769
38.88,2.92,2.53,632
40.71,4.52,1.66,650
40.71,4.52,1.66,113
25.63,6.78,3.69,102
28.82,3.63,0.64,1063
43.08,4.04,3.5,915
40.21,5.03,1.84,1076
28.48,6.7,3.6,889
40.21,5.03,1.84,521
50,4.69,3.91,408
40.92,4.31,6.46,97
28.48,6.7,3.6,587
28.48,6.7,4.19,163
39.2,4.02,8.04,438
24.99,2.66,6.38,869
46.31,4.31,5.38,962
22.54,2.45,4.41,166
19.84,2.43,5.26,162
25.39,6.35,3.17,607
47.04,7.84,6.86,934
27.19,3.97,3.4,820
25.49,4.53,2.78,171
24.49,5.1,3.06,871
37.46,5.23,2.35,954
29.84,2.71,6.1,540
39,4,3.6,215
30.25,3.02,6.65,749
40.21,5.03,1.84,113
28.48,6.7,3.6,1004
28.48,6.7,4.19,57
40.21,5.03,1.84,341
40.21,5.03,2.09,505
38.27,4.64,8.12,77
18,2,3,560
42.72,4.19,3.94,986
41.58,7.72,12.25,136
43.46,6.21,9.76,563
38.77,4.31,8.62,613
38.77,4.31,9.69,316
20.42,2.72,17.69,994
29.84,2.71,7.46,853
26.45,2.71,8.82,250
28,4,8,71
29.84,2.71,6.78,299
35,3,13,167
38.66,4.83,7.73,811
38.59,4.49,7.18,585
37.69,4.71,11.31,287
37.19,5.03,11.06,1008
18,2,3,405
17.38,1.93,2.9,959
36.75,5.44,14.97,156
23.06,2.4,9.61,123
22.1,2.4,9.61,307
21.12,1.85,0.3,169
21.49,1.85,0.22,316
21.49,2.22,0.85,460
39.2,4.36,1.57,277
50,4.69,3.28,388
43.21,4.94,4.2,759
26.2,3.4,1.33,969
42.57,4.37,6.55,497
26,3,16,947
31.39,3.83,5.36,1054
34.79,5.8,10.44,180
30.52,2.71,6.1,461
28.48,6.7,2.76,371
35.22,3.83,2.53,368
41.46,5.03,8.79,560
34.03,4.08,13.61,1002
31.41,2.51,18.85,464
25.09,2.71,14.92,26
9.05,1.54,7.01,963
43.12,5.88,21.56,1064
50.96,5.88,13.72,945
18.26,3.64,10.28,991
35.22,3.06,5.36,490
38.2,4.02,7.04,1084
40.21,5.03,2.09,682
76.92,9.61,19.23,66
39.91,3.55,9.76,761
32.67,5.03,4.1,664
28.48,6.7,3.52,663
29.32,5.03,3.27,981
40.47,4.76,1.82,869
22.38,4.24,3.63,331
33.5,3.59,7.18,1072
34.7,3.59,11.97,382
34.7,3.59,11.97,767
35.8,3.7,9.88,639
35.8,3.7,9.88,163
34.04,3.65,12.16,1041
34.04,4.86,13.37,718
44.06,3.92,6.85,462
19.84,4.05,3.64,1046
31,3.16,5.06,1070
30.52,4.07,4.75,137
41.03,5.73,8.59,1017
28.48,6.7,4.19,86
29,4,11,46
43.37,5.16,8.26,338
43.08,5.38,1.79,307
37.23,3.72,10.24,693
30.15,6.46,8.62,665
33.29,5.65,7.54,845
33.5,5.86,7.54,585
40.21,5.03,1.84,434
34.27,5.71,1.26,864
29.16,4.07,3.26,704
32.31,5.38,5.38,506
36.75,6.81,10.89,816
22.99,2.42,13.91,790
24.01,3.43,2.94,13
20.48,3.66,14.63,478
45.23,6.28,4.4,194
41.26,5.55,2.94,847
33.38,5.38,3.12,457
20.42,2.72,17.69,885
40.74,4.94,7.41,1055
26.45,3.39,13.56,448
23,9,4.7,554
23,9,4.2,848
1.39,1,0,822
1.69,1.03,0.02,480
0,0.95,0.01,290
2.27,1.01,0.02,830
2.17,1.01,0.09,543
2.99,0.9,0.02,999
2.53,1.09,0.05,678
1.94,1.03,0.02,229
2.58,1.03,0.04,454
2.69,1.03,0.05,362
1.98,0.99,0.09,368
1.95,0.94,0.01,654
1.49,1.05,1.1,303
2.02,0.94,0.01,463
2.65,0.68,0.01,683
1.75,0.98,0,441
1.86,1.1,0.06,948
3.07,0.96,0.09,733
2.42,0.96,0.02,321
2.65,0.96,0.04,46
2.74,1.03,0.23,638
2.18,0.99,0.03,1005
2.66,1.08,0.03,572
1.85,0.98,0.02,124
2.09,0.94,0.02,767
2.4,0.92,0.1,905
1.95,0.92,0.02,933
1.68,1.01,0.74,258
2.51,0.97,0.05,225
2.08,1.05,0.08,754
2.27,1,0.09,356
2.6,1.05,0.12,699
2.22,0.96,0.01,604
1.44,1.02,0,800
1.64,0.97,0,548
2.01,0.81,0.09,904
2.47,1,0.05,216
2.14,0.97,0.14,330
2.17,0.96,0.06,653
2.11,0.97,0.04,742
23,9,4.7,32
23,9,4.2,468
1.84,0.72,0.08,622
1.39,1,0,821
1.68,0.9,0.07,157
2.91,0.57,0.1,863
0.82,1.67,0.02,334
2.29,0.68,0.03,391
1.03,1.61,0.19,453
2.09,0.57,0.24,744
0.85,1.3,0.05,390
1.55,0.72,0.15,895
1.24,0.72,0.05,1045
1.69,1.03,0.02,594
1.15,0.95,0.08,682
1.22,1.15,0.05,845
1.75,0.82,0,664
2.38,0.63,0.04,746
0,0.95,0.01,421
0.48,1.38,0.05,691
1.49,0.9,0.01,320
2.13,0.56,0.24,554
1.75,0.88,0.06,850
2.27,1.01,0.02,628
2.17,1.01,0.09,221
2.99,0.9,0.02,44
2.53,1.09,0.05,967
1.94,1.03,0.02,728
1.03,1.6,0.16,181
2.58,1.03,0.04,904
2.69,1.03,0.05,699
1.51,1.35,0.16,72
1.98,0.99,0.09,109
1.09,1.5,0.19,577
1.95,0.94,0.01,808
1.49,1.05,1.1,619
2.02,0.94,0.01,168
2.65,0.68,0.01,254
1.75,0.98,0,675
1.86,1.1,0.06,723
3.07,0.96,0.09,1021
2.42,0.96,0.02,231
2.65,0.96,0.04,330
2.74,1.03,0.23,160
2.18,0.99,0.03,675
2.66,1.08,0.03,930
1.85,0.98,0.02,756
1.27,1.39,0.25,949
2.09,0.94,0.02,755
1.47,1.36,0.11,541
1.38,1.33,0.17,279
1.48,1.35,0.14,588
2.4,0.92,0.1,181
1.95,0.92,0.02,294
1.39,1.31,0.15,127
1.68,1.01,0.74,876
1.22,1.43,0.22,66
2.51,0.97,0.05,530
1.15,1.61,0.15,72
2.08,1.05,0.08,85
0.98,1.64,0.17,568
2.27,1,0.09,986
1.03,1.63,0.14,190
2.6,1.05,0.12,438
1.07,1.51,0.17,981
2.22,0.96,0.01,893
1.12,1.58,0.14,55
1.44,1.02,0,455
1.64,0.97,0,112
2.01,0.81,0.09,695
2.47,1,0.05,1031
2.14,0.97,0.14,738
1.37,1.35,0.13,58
2.17,0.96,0.06,718
2.11,0.97,0.04,981
0.86,1.11,1.1,647
28.85,3.2,4.17,974
40,4,0,852
12.7,3.1,1.6,69
36,2.4,1.6,610
11.5,0,1.2,646
35.6,3.2,2.8,141
10.8,1.8,2,360
18.45,0,0,120
22.95,0,0,830
25.88,0,0,112
13,0,0,163
16,0,0,878
19,0,0,429
19,0,0,659
12.7,0.4,0.3,993
19,0,0,862
12,0,0,455
12,0,0,296
6.4,0,0,24
7,0,0,241
124,2,0,154
13,0,0,20
16,0,0,24
10,0,0,924
64,0.7,1.4,7
18,0,0,179
18,0,0,955
10,0,0,639
10,1.1,0,795
26,0,0.5,827
0,0,0,551
7.96,0.18,0.08,94
14,0,0,868
14,0,0,960
13,0,0,430
12,0,0,103
13,0,0,863
12,0,0,870
15,0,0,67
9.36,0.03,0,935
12,0,0,996
14,0,0,617
7.96,0,0.08,28
3,1,0,293
14,0,0,771
15,1,1.1,1007
64,2,0,890
18,0,0,548
19,0,0,474
19,0,0,997
14,1,0,236
13,0,0.3,268
13,0,0,879
13,0,0,896
15,0,0,823
12,0,0,631
11.09,0,0,143
10.92,0.4,0.02,815
12.3,0.1,0.1,729
7.71,0.04,0.01,392
11.76,0,0,220
10.5,0.1,0,845
11.4,0.06,0.01,469
11.1,0.3,0,918
9.7,0.1,0,330
14.03,0.23,0.01,339
8.66,0.86,0.05,255
5.67,0.99,0.11,860
13.89,0,0.01,27
13.1,0.1,0.2,249
11.4,0.2,0.8,141
8.85,0.21,0.01,999
9.16,0,0,985
10.88,0,0,191
11.77,0,0,746
9.98,0,0,366
0,0,0,833
12.08,0,0,1042
11.74,0,0,384
0.29,0.11,0.03,643
8.76,0,0,898
9.46,0,0,590
13.3,0,0,145
11.3,0,0.1,276
13.07,0,0,255
30.6,5.1,5.4,186
28.85,3.2,4.17,178
22.95,0,0,941
21.6,0,0,662
25.88,0,0,330
50.8,0,0,1025
45.6,0,0,839
40,4,0,34
47.2,0,0,871
45.6,0,0,1049
40,0.4,0.4,419
48.4,0,0,589
46,0,0,353
52.8,0,0,460
42.8,0,0,811
52,0,0,1043
24,0,0,250
67.6,0.4,0,283
10.8,1.8,2,205
99.7,0,0,1037
84.8,4,2.8,58
12.7,3.1,1.6,107
70,11,11,650
36,2.4,1.6,459
21.2,0.4,0,812
87.64,7.59,1.6,994
77.4686,9.7152,2.6818,778
85.1851,11.4219,1.3468,980
68.59,9.06,0.27,147
62.99,17.22,5.72,646
79.8,14.14,3.61,367
73.53,6.87,0.16,945
45.95,11.14,2.54,465
51.76,11.61,2.87,36
51.93,17.56,4.73,1066
84.42,20.58,1.3,372
74.52,15.86,3.13,966
60.77,46.75,3.23,54
101.24,18.45,3.43,946
93.77,20.5,1.27,709
143.42,60.34,13.19,793
72.8,37.32,3.49,1075
56.34,7.33,2.63,830
73.54,5.8,0.2,169
118.88,19.47,3.84,322
107.84,26.39,5.58,709
84.76,30.89,4.29,475
84.54,23.33,4.4,465
101.52,36.71,1.54,929
27.04,15.83,8.88,459
64.44,16.16,4,922
56.58,19.74,3.81,114
69.45,9.52,1.29,374
70.04,6.31,0.26,98
93.46,28.56,11.33,770
51.99,15.61,1.96,350
126.22,12.02,2.12,2
82.14,25.98,5.5,1053
79,25.85,0.87,629
62.49,5.89,0.2,727
59.63,11.56,1.38,517
68.76,19.16,2.31,934
58.65,10.59,0.44,762
141.85,22.11,2.27,269
79.22,44.3,16.07,12
73.17,20.08,2.72,270
104.86,28.81,2.06,5
69.71,5.67,0.28,490
93.97,12.3,0.23,152
50.65,17.5,3.49,940
50.89,11.86,2,158
75.68,10.63,1.12,523
74.61,12.89,2.76,728
74.73,12.26,2.18,655
59.67,16.86,6.55,891
99.53,14.94,2.09,926
85.22,11.34,0.91,584
71.66,14.98,1.33,496
64.51,6.56,0.21,72
